STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
80500,-0.4167,0.17363889,41.8712,2,4,4,4,0,0,385.1677936,7.407072954
892,0.268,0.071824,40.7251,2,4,4,4,0,0,385.1677936,7.407072954
900,-1.0212,1.04284944,42.8824,1,3,3,4,0,0,342.1163895,7.775372489
6,-0.5213,0.27175369,49.6914,1,3,3,4,0,0,424.1041106,8.315766874
24600,0.8763,0.76790169,51.9309,2,7,7,8,0,0,460.1634365,7.933852353
79,-0.9462,0.89529444,90.8734,3,5,5,6,0,0,462.2314193,6.797520871
53,-1.7155,2.94294025,77.2594,2,4,4,5,0,0,406.2052045,6.770086742
987,0.8763,0.76790169,51.9309,2,7,7,8,0,0,460.1634365,7.933852353
28,-2.7322,7.46491684,83.6954,2,4,4,5,0,0,446.2365046,6.660246338
223,-0.8358,0.69856164,56.7509,6,6,6,6,2,3,364.189926,7.140978941
158,-0.8358,0.69856164,56.7509,6,6,6,6,2,3,364.189926,7.140978941
45,-0.9394,0.88247236,71.3825,5,7,7,7,2,3,423.2158064,7.053596773
71,-0.8358,0.69856164,56.7509,5,5,5,5,2,3,439.2259772,7.084289954
226,0.2623,0.06880129,63.1855,5,8,8,5,2,3,431.1820617,7.839673849
378,-0.8876,0.78783376,64.0667,5,6,6,6,2,3,393.2052417,7.021522174
16218.1,-0.6416,0.41165056,43.24,3,5,4,5,1,1,262.1317424,7.084641687
330,0.8302,0.68923204,51.1585,4,5,4,5,1,1,351.194677,6.886170138
126.3,0.1774,0.03147076,60.2693,3,5,5,3,0,0,399.2486044,6.654143407
1490,-0.1509,0.02277081,41.5536,4,5,4,5,3,3,247.1320768,7.06091648
41130,0.6372,0.40602384,44.4773,4,5,4,5,1,1,489.2416272,7.194729812
1012.9,1.7786,3.16341796,57.7306,2,6,6,4,0,0,516.1223966,8.602039944
39810.72,-1.1202,1.25484804,31.3151,1,3,3,3,1,1,205.1102787,6.837009291
9772.37,-6.134,37.625956,123.877,6,8,6,8,2,2,686.4771065,6.129259879
13.8,0.2827,0.07991929,41.1516,4,5,4,5,2,2,323.1633769,7.181408376
80,-1.8206,3.31458436,75.8685,6,7,7,7,1,1,340.2011594,6.942880804
4500,-1.1059,1.22301481,88.0644,7,8,8,8,1,1,369.2277085,6.837550157
17,-2.0492,4.19922064,53.5894,1,2,2,3,0,0,364.2276542,6.389958846
370,-2.3313,5.43495969,81.831,7,8,8,8,2,2,370.2117241,6.985126869
2100,-1.1964,1.43137296,87.1904,6,7,7,7,2,2,358.2481096,6.397287671
11000,-1.3755,1.89200025,81.0888,7,8,8,8,1,1,356.196074,7.12392148
1500,-0.6308,0.39790864,87.2632,6,7,7,7,1,1,372.1732304,7.443464608
4500,-2.13,4.5369,87.9489,6,7,7,7,1,1,382.2481096,6.590484648
390,-1.0632,1.13039424,72.0143,6,7,7,7,1,1,314.1855093,6.981900207
3300,-1.9228,3.69715984,86.5822,7,8,8,8,1,1,384.2273741,6.86120311
3100,-1.0025,1.00500625,62.6543,5,7,6,7,3,4,380.1615183,7.454147418
280,-1.8536,3.43583296,72.0474,6,7,7,7,2,2,328.2011594,6.837524154
9300,-2.9216,8.53574656,76.7425,6,7,7,7,3,3,346.2004907,6.788244916
73,-1.4178,2.01015684,63.7419,6,6,6,7,1,1,402.2168095,7.182443026
30,-2.1086,4.44619396,78.7801,6,7,7,7,1,1,354.2168095,6.81186172
390,-2.3313,5.43495969,81.831,7,8,8,8,2,2,370.2117241,6.985126869
8,-1.6753,2.80663009,65.2314,1,3,3,4,0,0,438.2102899,6.955718887
95,-1.0648,1.13379904,83.2755,6,7,7,7,1,1,352.2011594,7.044023188
370,-1.1436,1.30782096,85.944,6,7,7,7,1,1,368.2324595,6.695135628
25,-2.3174,5.37034276,61.6785,1,3,3,4,0,0,394.2382189,6.462921621
52400,1.181,1.394761,52.0304,2,3,2,3,0,0,271.1572289,6.613590949
630,-1.0962,1.20165444,68.1932,6,7,7,7,2,2,302.1855093,6.867852485
600,-0.5624,0.31629376,80.6019,6,7,7,7,1,1,342.2168095,6.710133519
1200,-1.9834,3.93387556,54.7677,5,6,4,6,2,2,354.2055761,6.811645694
66,-2.0492,4.19922064,53.5894,1,2,2,3,0,0,364.2276542,6.389958846
120,-2.3966,5.74369156,81.6917,6,7,7,7,1,1,368.2324595,6.695135628
290,-1.6872,2.84664384,84.4038,6,7,7,7,1,1,368.2324595,6.695135628
540,-2.1193,4.49143249,83.3645,6,7,7,7,1,1,368.2324595,6.695135628
830,-2.1416,4.58645056,74.959,6,7,7,7,2,2,342.2168095,6.710133519
430,-0.8128,0.66064384,76.3081,6,7,7,7,1,1,328.2011594,6.837524154
3,-1.5543,2.41584849,61.4686,5,5,4,5,2,2,514.2499394,7.14236027
2000,-0.1155,0.01334025,71.9799,3,4,3,4,0,0,344.2463783,6.039410145
14600,-0.1267,0.01605289,54.9633,3,4,3,4,1,1,286.1681279,6.655072743
20700,0.3201,0.10246401,42.6407,3,4,3,4,1,1,236.1524779,6.382499402
11300,-0.4147,0.17197609,57.8749,3,4,3,4,1,1,300.183778,6.525734305
300,-1.0594,1.12232836,37.2023,3,5,4,5,1,2,312.1473925,7.259241686
180,-0.139,0.019321,35.8449,1,1,1,1,0,0,203.1673997,5.64353888
2900,-0.3946,0.15570916,31.3931,1,1,1,1,0,0,239.1673997,6.132497427
8.4,-0.2788,0.07772944,45.6906,2,2,2,2,0,0,241.1466642,6.517477412
94,0.0994,0.00988036,48.7759,3,3,3,3,0,0,244.1575633,6.425199033
0.9,-1.7781,3.16163961,46.6519,4,4,3,4,0,0,272.1524779,6.803811947
10000,-1.0542,1.11133764,31.2244,2,2,1,2,0,0,203.1310142,6.347844193
5.3,-0.7683,0.59028489,45.2327,2,2,2,2,0,0,243.1623143,6.234931136
480,-0.4819,0.23222761,45.1153,2,2,2,2,0,0,243.1623143,6.234931136
160,0.2655,0.07049025,35.2831,1,3,3,4,0,0,234.1368278,6.689623652
3,0.189,0.035721,56.0092,2,2,2,2,0,0,267.1623143,6.516154007
7.7,-0.7683,0.59028489,45.2327,2,2,2,2,0,0,243.1623143,6.234931136
1.5,-0.6075,0.36905625,52.1825,2,2,2,2,0,0,271.1936144,6.026524765
3300,-0.8307,0.69006249,40.3673,2,2,2,2,0,0,229.1466642,6.365185117
0.82,0.2324,0.05400976,54.5942,2,2,2,2,0,0,269.1779644,6.259952659
1200,0.9189,0.84437721,44.7481,2,2,2,2,0,0,227.1310142,6.680323946
220,-0.3946,0.15570916,31.3931,1,1,1,1,0,0,239.1673997,6.132497427
5.3,-0.3946,0.15570916,31.3931,1,1,1,1,0,0,189.1517496,5.7318712
8.9,-1.0535,1.10986225,51.8343,1,1,1,1,0,0,195.1986998,5.005094867
14900,0.987,0.974169,56.726,3,4,3,4,0,0,286.1681279,6.655072743
79600,-0.5925,0.35105625,44.7424,3,4,3,4,1,2,248.1524779,6.530328365
10,0.2474,0.06120676,36.8952,1,1,1,1,0,0,203.1673997,5.64353888
4.2,-1.2755,1.62690025,51.9578,4,4,3,4,1,1,286.1681279,6.655072743
107000,-1.844,3.400336,69.2033,6,7,6,6,3,3,513.2427701,7.332039573
2890,-3.1604,9.98812816,127.7146,10,12,10,10,6,6,818.4331107,7.055457851
27800,-3.1604,9.98812816,127.7146,10,12,10,10,6,6,818.4331107,7.055457851
10300,-3.6454,13.28894116,168.5706,14,14,12,16,6,6,1044.406766,7.679461517
15400,-2.5034,6.26701156,145.4222,12,12,10,12,8,8,920.2865629,8.072689148
9540,-2.5366,6.43433956,192.7866,12,14,12,12,6,6,1042.429682,7.553838277
600,-2.3316,5.43635856,164.0144,10,10,8,10,6,6,742.5145546,6.187621288
4400,0.3062,0.09375844,45.0992,1,1,1,1,0,0,227.1673997,5.978089465
3.00E+05,-1.1229,1.26090441,69.4414,2,7,7,7,2,2,503.2784067,6.80105955
320000,-1.2744,1.62409536,60.7973,2,7,7,7,2,2,475.2471065,6.988928037
260000,-0.5052,0.25522704,54.5605,2,7,7,7,2,2,447.2158064,7.213158168
3.23594E+15,-5.3262,28.36840644,119.8188,6,8,6,8,2,2,638.4771065,5.91182506
1.54882E+14,-5.1484,26.50602256,100.4684,4,6,6,6,4,4,554.4559771,5.657714052
1.38038E+14,-4.8604,23.62348816,97.5568,4,6,6,6,4,4,540.440327,5.688845548
2.23872E+14,-5.4364,29.55444496,103.38,4,6,6,6,4,4,568.4716272,5.628431952
5.37032E+14,-5.5308,30.58974864,108.4254,6,8,6,8,4,4,610.4458063,5.984762807
1.99526E+12,-3.3706,11.36094436,91.6216,4,4,4,4,4,6,350.2537892,5.837563154
5490000,-1.6187,2.62018969,34.1433,4,5,5,5,2,2,256.097679,7.532284677
65000,2.5971,6.74492841,43.4927,3,9,9,3,0,0,284.0037,11.8334875
43600,1.4035,1.96981225,48.9714,5,8,8,5,0,0,274.0217947,10.14895536
17700,-0.7572,0.57335184,34.1803,3,4,3,4,2,3,220.1211778,6.878786805
2090,-1.8457,3.40660849,72.2594,3,6,6,6,0,0,577.2828233,7.040034431
520,-1.9778,3.91169284,91.9567,4,10,9,10,1,1,618.2941163,7.106828923
9810,-1.715,2.941225,96.1211,4,10,9,10,1,1,632.3097664,7.025664071
2990,-0.8258,0.68194564,80.3103,4,10,9,10,1,1,562.231516,7.496420214
